Year,CurrencyCode,Frequency,Percent,CumulativePercent
2009,EUR,117916.26,1.84,1.84
2009,Othr,2412090,37.54,39.37
2009,USD,375812.06,5.85,45.22
2009,ZAR,3519681.6,54.78,100.00
2010,EUR,150135.4,1.85,1.85
2010,Othr,2947643.8,36.27,38.12
2010,USD,658735.36,8.11,46.23
2010,ZAR,4369884,53.77,100.00
2011,EUR,215230.44,2.29,2.29
2011,Othr,1665965,17.73,20.02
2011,USD,1134921,12.08,32.10
2011,ZAR,6380968,67.90,100.00
2012,EUR,322800.73,3.30,3.30
2012,Othr,499315.048,5.10,8.40
2012,USD,1791994,18.31,26.71
2012,ZAR,7173841,73.29,100.00
2013,EUR,391612.154,3.66,3.66
2013,Othr,654321.54,6.11,9.77
2013,USD,2563630,23.95,33.72
2013,ZAR,7094028.4,66.28,100.00
2014,EUR,490819.02,4.02,4.02
2014,Othr,1740305,14.25,18.27
2014,USD,3028161,24.80,43.07
2014,ZAR,6953031,56.93,100.00
2015,EUR,538303.97,4.40,4.40
2015,Othr,1741450,14.22,18.61
2015,USD,3918849,32.00,50.61
2015,ZAR,6048396.1,49.39,100.00
2016,EUR,654627.09,5.40,5.40
2016,Othr,1674220,13.81,19.21
2016,USD,4252750,35.08,54.28
2016,ZAR,5543004,45.72,100.00
2017,EUR,711853.51,5.71,5.71
2017,Othr,1596736,12.82,18.53
2017,USD,4975399,39.94,58.47
2017,ZAR,5173519,41.53,100.00
2018,EUR,758464.95,6.04,6.04
2018,Othr,1598763,12.72,18.76
2018,USD,5029663,40.02,58.78
2018,ZAR,5180270,41.22,100.00
2019,EUR,884416.88,7.00,7.00
2019,Othr,1582763,12.53,19.53
2019,USD,5180966,41.01,60.53
2019,ZAR,4986677,39.47,100.00
2020,EUR,704485.13,6.64,6.64
2020,Othr,1531436,14.44,21.09
2020,USD,4493443,42.38,63.47
2020,ZAR,3873481,36.53,100.00
2021,EUR,1107779,5.66,5.66
2021,Othr,2184679,11.16,16.82
2021,USD,9338548,47.70,64.52
2021,ZAR,6945391,35.48,100.00
